invoice_id,entity_name,invoice_date,due_date,amount,currency,type,status
62d60e93,Arnold and Sons,2025-09-11,2025-12-10,7789.23,USD,AR,Open
fb16e5db,"Choi, Garcia and Farmer",2025-12-12,2026-02-10,33714.78,USD,AR,Paid
80962718,"Guerrero, Peck and Coleman",2025-07-15,2025-08-14,34552.64,USD,AR,Open
dfcaf0b7,"Fernandez, Kim and George",2025-12-08,2026-01-22,40893.63,GBP,AR,Open
74f93d17,Warner-Gibson,2025-11-17,2025-12-17,16550.46,EUR,AR,Open
a79fbfaf,Arnold and Sons,2025-06-20,2025-08-19,29450.51,USD,AR,Open
f81dbaa1,Jones and Sons,2025-12-09,2026-02-07,13782.76,USD,AR,Open
a65bb1f2,"Clark, Guerrero and Moore",2025-08-04,2025-09-03,27918.2,USD,AR,Open
dbfdd97e,"Walker, Hernandez and Baker",2025-07-02,2025-08-01,37595.5,USD,AR,Paid
b7fddd71,Hernandez PLC,2025-09-22,2025-11-21,19778.86,USD,AR,Open
0930aef6,Lyons-Bender,2025-11-24,2025-12-09,31497.55,USD,AR,Open
ebc2026f,"Duran, Obrien and Gibbs",2025-10-07,2025-11-21,30142.04,USD,AR,Open
6f18c108,Ortiz Ltd,2025-08-08,2025-08-08,4006.37,USD,AR,Open
df615a5c,Arnold and Sons,2025-12-11,2026-01-10,39643.6,USD,AR,Paid
e746ccb9,"Harrison, Johnson and Roberts",2025-07-06,2025-10-04,13549.47,USD,AR,Open
4b1a269b,"Hall, Baker and Moody",2025-06-23,2025-08-07,1409.74,USD,AR,Open
87fa841a,Rowe Group,2025-08-21,2025-09-20,2475.92,USD,AR,Open
2b840c67,Larson-Holloway,2025-08-31,2025-09-15,46128.21,USD,AR,Open
9ea556aa,"Fernandez, Kim and George",2025-07-19,2025-07-19,24592.77,USD,AR,Paid
24a35cf2,"Fernandez, Kim and George",2025-10-18,2025-12-02,13273.63,USD,AR,Open
415d174a, Gonzales-Harrison ,2025-07-29,2025-07-29,43373.19,USD,AR,Open
e6b5a92c,Jones and Sons,2025-10-16,2025-11-30,31922.26,USD,AR,Paid
711533f3,"Choi, Garcia and Farmer",2025-08-08,2025-08-08,6124.79,USD,AR,Open
a3917c99,Hernandez PLC,2025-12-05,2026-03-05,20613.21,USD,AR,Open
d865d69a,Warner-Gibson,2025-12-08,2026-03-08,2206.37,EUR,AR,Open
7bb38605,Lyons-Bender,2025-08-11,2025-09-10,34374.7,USD,AR,Open
9326dffd,Warner-Gibson,2025-07-07,,24629.01,USD,AR,Paid
fa5a91ca,"Branch, Torres and Oliver",2025-08-10,2025-10-09,16115.57,USD,AR,Paid
90e0b95f,"Clark, Guerrero and Moore",2025-11-14,2026-02-12,34996.9,USD,AR,Paid
0c8e29e3,Arnold and Sons,2025-11-20,2026-01-04,29071.57,USD,AR,Open
e776b886,"Guerrero, Peck and Coleman",2025-11-28,2025-11-28,15641.96,USD,AR,Disputed
9b689c88,Ortiz Ltd,2025-11-27,2025-12-12,23814.9,USD,AR,Open
9ef2b93e,Kerr-Evans,2025-11-09,2026-02-07,34349.24,EUR,AR,Open
a8c01f05,"Clark, Guerrero and Moore",2025-08-02,2025-09-01,21098.93,GBP,AR,Open
e7457704,Rowe Group,2025-10-18,2025-11-17,49696.48,USD,AR,Paid
70d9c9f8,"Harrison, Johnson and Roberts",2025-10-08,2025-11-22,37791.0,USD,AR,Open
1712fb16,"Harrison, Johnson and Roberts",2025-06-24,2025-09-22,30481.95,USD,AR,Paid
2cf6bf75,Lyons-Bender,2025-11-28,2025-11-28,16666.46,USD,AR,Disputed
f8b38a8b,Lyons-Bender,2025-07-24,2025-08-08,27289.24,USD,AR,Open
d499da99,Arnold and Sons,2025-08-22,2025-11-20,44759.34,USD,AR,Open
7b5a611a,Hernandez PLC,2025-07-17,2025-08-31,1505.8,USD,AR,Paid
56b60afc,Miller-Wright,2025-12-09,2026-01-23,20657.51,USD,AR,Open
2408a6dc,"Fernandez, Kim and George",2025-11-09,2025-11-24,35099.84,EUR,AR,Open
b966442a,"Walker, Hernandez and Baker",2025-10-31,2025-11-15,34542.29,USD,AR,Open
cdf974a7,Gonzales-Harrison,2025-10-17,,11175.44,USD,AR,Open
03902c5d,"Hall, Baker and Moody",2025-09-26,2025-11-10,20883.6,USD,AR,Open
ac3e7b0d,"Guerrero, Peck and Coleman",2025-08-04,2025-09-18,30931.64,USD,AR,Open
d289f0ab,Arnold and Sons,2025-10-30,2026-01-28,32001.18,USD,AR,Open
3bdbc09e,Hernandez PLC,2025-10-10,2025-10-10,23330.94,USD,AR,Open
8fb864e4," Choi, Garcia and Farmer ",2025-09-10,2025-10-10,18546.15,USD,AR,Paid
102efde5,"Harrison, Johnson and Roberts",2025-08-16,2025-11-14,23280.5,USD,AR,Paid
4d5c55c7,Lyons-Bender,2025-10-10,2025-11-24,8417.45,USD,AR,Open
f23e323d,Miller-Wright,2025-10-12,2026-01-10,29673.69,EUR,AR,Disputed
18e19331,Miller-Wright,2025-06-24,2025-08-08,12798.27,USD,AR,Open
7421ff46,"HARRISON, JOHNSON AND ROBERTS",2025-07-30,2025-09-28,5650.43,EUR,AR,Paid
f22b5b98,"Duran, Obrien and Gibbs",2025-08-23,2025-09-07,4206.57,USD,AR,Paid
278ed00d,"Clark, Guerrero and Moore",2025-09-23,2025-09-23,20805.85,USD,AR,Paid
7d45d8ef,Kerr-Evans,2025-11-24,2025-12-24,16906.45,USD,AR,Paid
08601833,Hernandez PLC,2025-10-06,2025-10-06,7339.98,USD,AR,Open
f3579560,Larson-Holloway,2025-10-20,2025-12-19,22827.49,USD,AR,Paid
af88bdec,Lyons-Bender,2025-07-30,2025-10-28,32717.85,USD,AR,Open
5bd20c98," Walker, Hernandez and Baker ",2025-08-23,2025-09-07,46172.96,USD,AR,Open
1f45dbfd,Lyons-Bender,2025-06-28,2025-09-26,38471.03,USD,AR,Paid
a9ab364a,Warner-Gibson,2025-12-05,2025-12-20,43550.39,USD,AR,Open
0577aea9,Larson-Holloway,2025-07-26,2025-10-24,29232.62,USD,AR,Open
203c8c25,"Hall, Baker and Moody",2025-06-27,2025-06-27,40751.81,USD,AR,Open
c3e15a85,"Fernandez, Kim and George",2025-11-06,2025-12-06,39615.44,USD,AR,Open
dea45c19,Gonzales-Harrison,2025-09-25,2025-09-25,40296.06,USD,AR,Open
e68933a9,"Hall, Baker and Moody",2025-07-29,2025-09-12,32058.49,USD,AR,Open
250a4578,Kerr-Evans,2025-10-03,2025-10-03,31516.25,USD,AR,Open
2cabd7e7,"Duran, Obrien and Gibbs",2025-12-12,2026-01-11,11771.67,USD,AR,Paid
03cde2e3,"Hall, Baker and Moody",2025-07-07,2025-09-05,41016.64,USD,AR,Paid
52e2afd9,Ortiz Ltd,2025-08-21,2025-08-21,21598.71,USD,AR,Disputed
bde13c1b,"Harrison, Johnson and Roberts",2025-06-20,2025-06-20,31140.67,USD,AR,Paid
79eb4168,Arnold and Sons,2025-09-01,2025-11-30,28033.62,USD,AR,Open
1beaf6ac,"HARRISON, JOHNSON AND ROBERTS",2025-09-06,2025-12-05,25921.51,USD,AR,Paid
0b19f88e, Lyons-Bender ,2025-09-07,2025-10-22,12295.79,USD,AR,Paid
857dd3b3,Jones and Sons,2025-10-26,2025-11-25,26284.16,USD,AR,Open
0f9240e1,"Fernandez, Kim and George",2025-08-11,2025-09-10,32985.65,USD,AR,Open
afa415e5,Gonzales-Harrison,2025-12-14,2026-02-12,10607.79,USD,AR,Open
12d0498d,Ortiz Ltd,2025-07-07,2025-08-21,4584.41,USD,AR,Open
10d08d11,Larson-Holloway,2025-11-26,2026-02-24,28145.69,USD,AR,Paid
8c611654,"Harrison, Johnson and Roberts",2025-07-10,2025-10-08,41627.29,USD,AR,Open
87d292a6,Warner-Gibson,2025-10-24,2025-11-08,45430.82,USD,AR,Paid
1963c26d, Arnold and Sons ,2025-08-10,2025-08-25,8240.83,USD,AR,Paid
a6a27967,GONZALES-HARRISON,2025-11-07,2025-11-22,31421.12,GBP,AR,Open
370bc063,"Choi, Garcia and Farmer",2025-11-22,2025-12-07,27829.49,USD,AR,Open
56c438e4,"Hall, Baker and Moody",2025-09-03,2025-09-03,41790.58,USD,AR,Open
18578baf,"Hall, Baker and Moody",2025-11-13,2026-01-12,25446.94,EUR,AR,Open
5fd23109,Arnold and Sons,2025-08-13,2025-10-12,23625.62,USD,AR,Open
112fa612,Gonzales-Harrison,2025-12-06,2026-02-04,1073.65,USD,AR,Open
18b87245,"Harrison, Johnson and Roberts",2025-07-04,2025-08-03,819.22,USD,AR,Paid
8e6e5003,Jones and Sons,2025-10-30,,15036.9,USD,AR,Open
5463adc7,"Hall, Baker and Moody",2025-06-28,2025-07-13,33041.0,USD,AR,Paid
aa53c19c,"Clark, Guerrero and Moore",2025-10-16,2025-11-15,12527.98,USD,AR,Open
b8976ec5,"Choi, Garcia and Farmer",2025-12-04,2025-12-04,20510.58,USD,AR,Open
5a057c11,"Hall, Baker and Moody",2025-06-27,2025-08-11,12163.2,USD,AR,Paid
a81fdec3,Warner-Gibson,2025-07-06,2025-08-20,21458.92,USD,AR,Open
d86a6460,"Guerrero, Peck and Coleman",2025-09-12,2025-10-12,27270.75,USD,AR,Open
92f837d4,Ortiz Ltd,2025-09-26,2025-11-10,49368.94,USD,AR,Open
f97be2dd,Miller-Wright,2025-07-28,2025-07-28,46653.37,USD,AR,Open
a487eeab,"Choi, Garcia and Farmer",2025-11-03,2025-11-18,7152.25,USD,AR,Open
d4578ad9,"Duran, Obrien and Gibbs",2025-09-26,2025-11-25,39869.66,USD,AR,Open
b3e4110a,Kerr-Evans,2025-10-20,2025-10-20,3315.76,USD,AR,Open
01902620,Arnold and Sons,2025-11-02,2026-01-31,46194.81,USD,AR,Open
6699cd99,"Walker, Hernandez and Baker",2025-07-20,2025-09-03,443.83,USD,AR,Paid
07d924ce,"Choi, Garcia and Farmer",2025-06-30,2025-06-30,27472.32,USD,AR,Open
6b7a2460,"Clark, Guerrero and Moore",2025-07-04,2025-07-19,38146.96,EUR,AR,Open
b8ba8368,Rowe Group,2025-09-07,2025-12-06,14547.64,USD,AR,Paid
15bfbe97,Gonzales-Harrison,2025-08-15,2025-10-14,15854.73,USD,AR,Open
9e2aa4ac,Ortiz Ltd,2025-11-24,2026-01-23,35556.6,USD,AR,Open
a974d079,"Guerrero, Peck and Coleman",2025-06-26,2025-07-26,25778.07,USD,AR,Paid
45ee432d,"Clark, Guerrero and Moore",2025-09-02,2025-12-01,13524.14,USD,AR,Open
6e0ed1e8,Ortiz Ltd,2025-07-26,2025-08-10,7378.58,USD,AR,Open
7c93f6cc," Walker, Hernandez and Baker ",2025-07-07,2025-09-05,46860.02,GBP,AR,Open
652ffb49,Kerr-Evans,2025-09-20,2025-11-04,21725.68,USD,AR,Paid
4d29d1ab,"Choi, Garcia and Farmer",2025-12-12,,8139.1,USD,AR,Open
4169b9fc,Lyons-Bender,2025-12-05,2026-01-04,248.34,USD,AR,Open
bf3c5140,Larson-Holloway,2025-08-09,2025-10-08,48584.33,USD,AR,Open
b423ccde,Lyons-Bender,2025-09-03,2025-10-18,5856.27,USD,AR,Open
ce6322b6,Larson-Holloway,2025-07-29,,13714.02,USD,AR,Open
0ad45230,Kerr-Evans,2025-08-20,2025-10-19,44208.23,USD,AR,Paid
dcb33df3,"Choi, Garcia and Farmer",2025-09-04,2025-12-03,32093.1,USD,AR,Open
b5a1b949,Miller-Wright,2025-08-13,2025-08-13,40147.33,USD,AR,Open
0556daea,Lyons-Bender,2025-10-11,2026-01-09,12295.38,USD,AR,Open
9e3d750d,"Fernandez, Kim and George",2025-12-08,2025-12-08,36204.38,USD,AR,Paid
168fae12,"Clark, Guerrero and Moore",2025-09-08,2025-12-07,39145.83,USD,AR,Open
96c044d0,"Fernandez, Kim and George",2025-09-04,2025-11-03,26566.18,USD,AR,Paid
4f6e274b,Lyons-Bender,2025-08-29,2025-10-28,36409.15,USD,AR,Paid
2b0abedd,Ortiz Ltd,2025-10-30,2026-01-28,18561.1,USD,AR,Paid
828c37e7,Warner-Gibson,2025-07-01,2025-09-29,18941.99,GBP,AR,Paid
ba35844e,Hernandez PLC,2025-07-22,2025-10-20,8102.28,USD,AR,Open
3c7c1d85,Warner-Gibson,2025-12-07,2025-12-22,39364.52,USD,AR,Open
9a36d1ec,"Branch, Torres and Oliver",2025-07-06,2025-07-21,15253.93,USD,AR,Open
2d5972c6,Ortiz Ltd,2025-07-15,2025-08-14,21417.09,USD,AR,Open
c1235c91,"Duran, Obrien and Gibbs",2025-12-06,2026-02-04,48461.23,USD,AR,Paid
ec955f87,Rowe Group,2025-09-27,2025-11-26,13664.34,USD,AR,Paid
9fe0a8c7,Warner-Gibson,2025-11-23,2025-12-23,35401.06,USD,AR,Disputed
26a524e3, Larson-Holloway ,2025-08-15,2025-09-14,12608.42,USD,AR,Paid
4d85a3d2,Kerr-Evans,2025-09-05,2025-11-04,14359.33,GBP,AR,Paid
81e0d489,Ortiz Ltd,2025-11-08,2025-11-08,23942.51,USD,AR,Open
0e9058b6,Larson-Holloway,2025-07-01,2025-08-30,19059.89,USD,AR,Open
dd3f7d7e,Gonzales-Harrison,2025-08-23,2025-10-22,45163.68,USD,AR,Paid
81cf3252,Jones and Sons,2025-12-10,2025-12-10,36457.52,USD,AR,Open
cab4923b,Rowe Group,2025-08-26,2025-09-25,46132.74,USD,AR,Open
cf501889,Hernandez PLC,2025-10-29,2025-12-28,43128.55,USD,AR,Paid
79c2d2e4,"GUERRERO, PECK AND COLEMAN",2025-09-28,2025-09-28,38097.17,USD,AR,Open
1a7f195b,Miller-Wright,2025-09-16,2025-09-16,7146.67,USD,AR,Open
b6dd6257,"Harrison, Johnson and Roberts",2025-11-10,2026-01-09,45064.62,USD,AR,Paid
3f6c21f7,Ortiz Ltd,2025-07-03,2025-08-02,12995.0,USD,AR,Paid
85d2d0a6, Gonzales-Harrison ,2025-10-23,2025-10-23,19829.61,USD,AR,Paid
486bb6bf,"Harrison, Johnson and Roberts",2025-10-05,2025-11-19,11933.58,USD,AR,Disputed
990f0c5b,"Clark, Guerrero and Moore",2025-08-26,2025-10-25,24569.82,USD,AR,Open
10df9974,"Harrison, Johnson and Roberts",2025-06-27,2025-06-27,6286.74,USD,AR,Disputed
48bddb3e,Rowe Group,2025-08-16,2025-08-31,37769.05,USD,AR,Open
e806133c,"Duran, Obrien and Gibbs",2025-08-02,2025-08-17,15775.32,USD,AR,Open
952e6abb,Kerr-Evans,2025-10-04,2025-11-18,43431.72,USD,AR,Open
f7baf55e,"CLARK, GUERRERO AND MOORE",2025-10-15,2025-10-30,27491.87,USD,AR,Open
98549f22,"Fernandez, Kim and George",2025-10-14,2025-10-29,22384.36,USD,AR,Open
606e0e1c,"Duran, Obrien and Gibbs",2025-10-23,2025-12-22,9175.69,USD,AR,Paid
ab8cbf97,"Walker, Hernandez and Baker",2025-10-11,2026-01-09,3431.82,USD,AR,Open
af77520e,"Clark, Guerrero and Moore",2025-10-22,2025-10-22,42015.74,USD,AR,Open
6c645c15,Arnold and Sons,2025-11-29,2025-12-29,29364.78,USD,AR,Open
2e25b5ee,"FERNANDEZ, KIM AND GEORGE",2025-09-17,2025-09-17,41145.75,USD,AR,Open
7c7c404e,Warner-Gibson,2025-12-06,2026-03-06,39119.96,USD,AR,Paid
13c11754,Gonzales-Harrison,2025-07-22,2025-08-06,10890.51,USD,AR,Open
112fa612,Gonzales-Harrison,2025-12-06,2026-02-04,1073.65,USD,AR,Open
203c8c25,"Hall, Baker and Moody",2025-06-27,2025-06-27,40751.81,USD,AR,Open
13c11754,Gonzales-Harrison,2025-07-22,2025-08-06,10890.51,USD,AR,Open
7d45d8ef,Kerr-Evans,2025-11-24,2025-12-24,16906.45,USD,AR,Paid
9e3d750d,"Fernandez, Kim and George",2025-12-08,2025-12-08,36204.38,USD,AR,Paid
486822b9,Rowe Group,2025-11-06,2026-01-05,8375.63,USD,AR,Open
7b5a611a,Hernandez PLC,2025-07-17,2025-08-31,1505.8,USD,AR,Paid
6c645c15,Arnold and Sons,2025-11-29,2025-12-29,29364.78,USD,AR,Open
370bc063,"Choi, Garcia and Farmer",2025-11-22,2025-12-07,27829.49,USD,AR,Open
d6016237,Jones and Sons,2025-06-22,2025-08-21,17543.77,USD,AR,Paid
