invoice_id,entity_name,invoice_date,due_date,amount,currency,type,status,amount_usd
13432e61,"GUZMAN, HOFFMAN AND BALDWIN",2025-10-23,2025-11-22,32777.02,USD,AP,Paid,32777.02
8babce3b,BLAKE AND SONS,2025-12-05,2025-12-20,5011.07,USD,AP,Open,5011.07
25e97977,"ADAMS, ZUNIGA AND WONG",2025-06-24,2025-07-09,27138.38,USD,AP,Open,27138.38
e623a689,DAVIS AND SONS,2025-09-03,2025-11-02,23670.28,USD,AP,Paid,23670.28
e61fecc0,"MCCLURE, WARD AND LEE",2025-12-02,2026-01-16,11615.41,USD,AP,Open,11615.41
1a50aec3,"ADAMS, ZUNIGA AND WONG",2025-08-21,2025-10-20,13666.33,USD,AP,Open,13666.33
6808593f,ARNOLD LTD,2025-08-20,2025-10-19,13930.75,USD,AP,Open,13930.75
ee0caeb5,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-12-10,2026-01-09,33426.6,USD,AP,Open,33426.6
cf8ebc5a,GALLOWAY-WYATT,2025-07-30,2025-10-28,28635.7,USD,AP,Open,28635.7
bc8f7d29,"MCCLURE, WARD AND LEE",2025-07-19,2025-08-18,45176.53,USD,AP,Open,45176.53
cd5f4822,WILLIAMS AND SONS,2025-12-01,2025-12-31,31423.81,EUR,AP,Open,34566.191000000006
444d610b,ABBOTT-MUNOZ,2025-10-16,2025-10-16,24671.47,USD,AP,Open,24671.47
df465290,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-07-16,2025-07-16,37609.5,EUR,AP,Paid,41370.450000000004
d10bd1d0,ARNOLD LTD,2025-06-24,2025-09-22,40819.04,USD,AP,Open,40819.04
cb9bc326,DUDLEY GROUP,2025-11-30,2025-12-30,2248.36,USD,AP,Open,2248.36
3170f437,"FLOWERS, MARTIN AND KELLY",2025-11-21,2026-01-20,30193.72,USD,AP,Open,30193.72
f7860b50,GARCIA-JAMES,2025-08-28,2025-09-12,37372.47,USD,AP,Paid,37372.47
6651529e,"FLOWERS, MARTIN AND KELLY",2025-11-04,2025-11-04,2900.72,EUR,AP,Open,3190.792
f071d879,DAVIS AND SONS,2025-10-18,2025-10-18,16973.57,USD,AP,Open,16973.57
2db69edb,"GUZMAN, HOFFMAN AND BALDWIN",2025-06-22,2025-08-06,30927.99,USD,AP,Paid,30927.99
1bc044fc,DOYLE LTD,2025-09-30,2025-11-29,11440.26,USD,AP,Paid,11440.26
504d281f,GARCIA-JAMES,2025-10-03,2025-11-02,5538.22,USD,AP,Open,5538.22
629c2ae3,"MCCLURE, WARD AND LEE",2025-09-04,2025-10-04,36556.64,USD,AP,Paid,36556.64
b572f3d0,ABBOTT-MUNOZ,2025-11-26,2026-02-24,3285.51,USD,AP,Open,3285.51
89d7fd6c,WILLIAMS AND SONS,2025-09-04,2025-10-04,7085.57,USD,AP,Open,7085.57
abae4f43,"FLOWERS, MARTIN AND KELLY",2025-10-19,2025-10-19,46699.9,USD,AP,Open,46699.9
aa0b7b14,BLAIR PLC,2025-07-23,2025-10-21,41538.68,USD,AP,Open,41538.68
d9178793,DAVIS AND SONS,2025-11-30,2026-02-28,22126.97,USD,AP,Open,22126.97
4f2d4796,BLAIR PLC,2025-07-10,2025-07-25,742.91,USD,AP,Open,742.91
4bb00f20,JAMES GROUP,2025-10-16,2025-10-31,23821.2,USD,AP,Paid,23821.2
f0bbac67,"REID, FERGUSON AND SANCHEZ",2025-09-25,2025-10-25,21656.05,USD,AP,Paid,21656.05
9d9262af,DUDLEY GROUP,2025-08-25,2025-08-25,49592.46,USD,AP,Open,49592.46
001a9a8b,"GUZMAN, HOFFMAN AND BALDWIN",2025-09-28,2025-10-28,29442.57,USD,AP,Open,29442.57
9479e1e6,WILLIAMS AND SONS,2025-08-11,2025-08-26,48702.93,USD,AP,Open,48702.93
71316269,"GUZMAN, HOFFMAN AND BALDWIN",2025-10-05,2025-10-05,31353.37,GBP,AP,Open,39191.7125
e6b3c944,JAMES GROUP,2025-10-17,2025-11-16,21764.79,USD,AP,Open,21764.79
15b52908,ABBOTT-MUNOZ,2025-12-07,2025-12-07,43702.37,USD,AP,Open,43702.37
55cee5db,GALLOWAY-WYATT,2025-08-08,2025-09-22,17108.79,USD,AP,Open,17108.79
ac3c5640,GARCIA-JAMES,2025-07-04,2025-09-02,6560.55,USD,AP,Paid,6560.55
0640be0f,DUDLEY GROUP,2025-08-12,2025-08-12,17114.4,USD,AP,Open,17114.4
d98868dd,"HENDERSON, RAMIREZ AND LEWIS",2025-06-26,2025-09-24,8919.86,USD,AP,Open,8919.86
a1384ddc,DAVIS AND SONS,2025-11-03,2025-12-18,24623.77,EUR,AP,Disputed,27086.147000000004
7e8f8095,"REID, FERGUSON AND SANCHEZ",2025-09-29,2025-10-14,3674.08,EUR,AP,Open,4041.4880000000003
016b6287,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-08-28,2025-08-28,38968.49,USD,AP,Paid,38968.49
1b494e15,GARCIA-JAMES,2025-11-25,2025-12-25,38217.4,USD,AP,Disputed,38217.4
f53d4330,"ADAMS, ZUNIGA AND WONG",2025-11-05,2026-02-03,14518.36,GBP,AP,Paid,18147.95
3fcb7546,GALLOWAY-WYATT,2025-10-21,2025-11-05,23139.01,USD,AP,Open,23139.01
cd29a36f,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-11-30,2026-01-29,7870.16,USD,AP,Open,7870.16
986f9025,BLAIR PLC,2025-09-09,2025-10-24,19535.99,USD,AP,Open,19535.99
9cd6c852,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-08-14,2025-10-13,28432.2,EUR,AP,Open,31275.420000000002
d4a02e53,"GARDNER, ROBINSON AND LAWRENCE",2025-11-11,2025-12-26,33998.71,USD,AP,Open,33998.71
be6033f7,"HENDERSON, RAMIREZ AND LEWIS",2025-11-28,2025-12-28,13434.42,USD,AP,Disputed,13434.42
3f4b1a70,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-11-20,2025-11-20,28538.2,USD,AP,Open,28538.2
8573e793,DAVIS AND SONS,2025-11-16,2025-12-16,41633.72,USD,AP,Paid,41633.72
13d5f2f7,ABBOTT-MUNOZ,2025-09-13,2025-10-13,1049.61,USD,AP,Paid,1049.61
51d87c64,ABBOTT-MUNOZ,2025-10-24,2025-11-23,31988.82,USD,AP,Open,31988.82
3b33f3d8,GALLOWAY-WYATT,2025-11-25,2026-01-09,8289.77,USD,AP,Paid,8289.77
10714d51,ABBOTT-MUNOZ,2025-08-25,2025-10-24,9220.21,USD,AP,Paid,9220.21
6a702e2f,"ADAMS, ZUNIGA AND WONG",2025-08-31,2025-11-29,7900.23,USD,AP,Open,7900.23
e7a37e81,"MCCLAIN, MILLER AND HENDERSON",2025-06-29,2025-09-27,47614.08,USD,AP,Open,47614.08
db52ca58,WILLIAMS AND SONS,2025-11-03,2025-11-03,29135.88,USD,AP,Paid,29135.88
018267c4,"REID, FERGUSON AND SANCHEZ",2025-11-23,2026-02-21,16816.49,USD,AP,Open,16816.49
da7b9095,GARCIA-JAMES,2025-12-04,2026-01-18,37248.38,USD,AP,Open,37248.38
bf5d2fdf,"GUZMAN, HOFFMAN AND BALDWIN",2025-11-25,2026-02-23,15794.4,USD,AP,Open,15794.4
3875394c,DAVIS AND SONS,2025-10-28,2025-12-27,34973.4,USD,AP,Open,34973.4
076e2bba,"REID, FERGUSON AND SANCHEZ",2025-09-13,2025-12-12,28245.28,USD,AP,Open,28245.28
67814c1f,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-08-26,2025-08-26,35384.06,USD,AP,Open,35384.06
20ac3703,ARNOLD LTD,2025-10-26,2025-12-25,36302.69,USD,AP,Open,36302.69
64de82e6,"HENDERSON, RAMIREZ AND LEWIS",2025-12-11,2025-12-26,44542.14,USD,AP,Open,44542.14
a48b3dbe,BLAIR PLC,2025-10-02,2025-11-01,30753.98,USD,AP,Open,30753.98
0cdf742b,"GUZMAN, HOFFMAN AND BALDWIN",2025-09-03,2025-10-03,21439.99,USD,AP,Open,21439.99
53ac2ab9,JAMES GROUP,2025-08-03,2025-08-03,8319.12,USD,AP,Open,8319.12
c083b73a,"FLOWERS, MARTIN AND KELLY",2025-08-17,2025-09-16,13438.52,USD,AP,Open,13438.52
14f7ce8d,"GARDNER, ROBINSON AND LAWRENCE",2025-12-06,2025-12-06,31946.19,USD,AP,Disputed,31946.19
fff9f585,DOYLE LTD,2025-09-10,2025-11-09,12914.21,USD,AP,Open,12914.21
c7fee39f,WILLIAMS AND SONS,2025-12-06,2026-02-04,20891.47,USD,AP,Open,20891.47
f319c125,BLAIR PLC,2025-12-07,2026-01-06,13310.79,USD,AP,Open,13310.79
2702878b,"GUZMAN, HOFFMAN AND BALDWIN",2025-08-01,2025-09-30,17014.46,USD,AP,Disputed,17014.46
90604f62,"GARDNER, ROBINSON AND LAWRENCE",2025-07-30,2025-08-29,11770.25,USD,AP,Open,11770.25
c4536f1d,"MCCLURE, WARD AND LEE",2025-12-05,2026-01-04,32728.67,USD,AP,Open,32728.67
bf780e3f,DUDLEY GROUP,2025-08-23,2025-11-21,18412.63,USD,AP,Open,18412.63
f6f7f0cc,"ADAMS, ZUNIGA AND WONG",2025-10-25,2025-10-25,25744.98,USD,AP,Paid,25744.98
4fdc6e1b,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-08-12,2025-08-12,28597.17,USD,AP,Open,28597.17
658b2523,"GARDNER, ROBINSON AND LAWRENCE",2025-09-29,2025-12-28,16841.76,GBP,AP,Paid,21052.199999999997
b0cc1b3b,DOYLE LTD,2025-12-04,2026-02-02,14312.38,USD,AP,Open,14312.38
c5c14eb4,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-11-14,2026-02-12,12691.14,USD,AP,Open,12691.14
1efd76e9,BLAKE AND SONS,2025-08-11,2025-08-26,6197.26,USD,AP,Paid,6197.26
58e25888,BLAIR PLC,2025-11-08,2025-12-08,7683.25,USD,AP,Open,7683.25
8186a576,"REID, FERGUSON AND SANCHEZ",2025-09-21,2025-11-05,15141.97,USD,AP,Open,15141.97
d284476c,DAVIS AND SONS,2025-10-12,2025-10-12,8238.61,USD,AP,Paid,8238.61
a2b5b498,"MCCLAIN, MILLER AND HENDERSON",2025-09-14,2025-09-29,19657.19,USD,AP,Open,19657.19
6f7c15ea,GARCIA-JAMES,2025-11-25,2026-02-23,9059.35,USD,AP,Open,9059.35
45241ea6,"ADAMS, ZUNIGA AND WONG",2025-07-19,2025-08-18,553.65,USD,AP,Open,553.65
7bc67e1f,ABBOTT-MUNOZ,2025-10-06,2025-11-05,35655.12,USD,AP,Open,35655.12
44b591f7,WILLIAMS AND SONS,2025-09-09,2025-10-24,41714.5,USD,AP,Open,41714.5
162f8a24,DOYLE LTD,2025-08-15,2025-08-15,21096.89,USD,AP,Open,21096.89
76f72255,JAMES GROUP,2025-08-07,2025-11-05,16012.67,USD,AP,Paid,16012.67
0758e201,DAVIS AND SONS,2025-09-28,2025-10-28,17366.52,USD,AP,Open,17366.52
364d7c87,GALLOWAY-WYATT,2025-09-14,2025-10-14,13984.49,USD,AP,Open,13984.49
e15ca666,ABBOTT-MUNOZ,2025-08-20,2025-10-04,6358.05,USD,AP,Open,6358.05
0299436a,BLAIR PLC,2025-10-03,2025-10-03,40694.21,EUR,AP,Open,44763.631
b856d035,"FLOWERS, MARTIN AND KELLY",2025-09-18,2025-09-18,4292.15,USD,AP,Open,4292.15
b0cbc61f,ABBOTT-MUNOZ,2025-08-30,2025-11-28,21775.16,USD,AP,Open,21775.16
cafda613,DUDLEY GROUP,2025-09-11,2025-09-11,29694.43,EUR,AP,Open,32663.873000000003
b118f68d,"FLOWERS, MARTIN AND KELLY",2025-06-21,2025-07-06,10637.13,GBP,AP,Paid,13296.412499999999
79279973,ARNOLD LTD,2025-07-31,2025-08-15,35791.01,USD,AP,Open,35791.01
bef59fe6,ARNOLD LTD,2025-09-25,2025-10-25,46475.98,USD,AP,Open,46475.98
455ac762,"MCCLURE, WARD AND LEE",2025-09-25,2025-12-24,40969.81,USD,AP,Open,40969.81
314d3441,ABBOTT-MUNOZ,2025-08-12,2025-11-10,1997.65,USD,AP,Open,1997.65
c31edbbc,BLAIR PLC,2025-08-13,2025-11-11,40467.47,USD,AP,Open,40467.47
7bf47042,"REID, FERGUSON AND SANCHEZ",2025-10-20,2025-12-19,21609.46,USD,AP,Open,21609.46
864e9a13,"FLOWERS, MARTIN AND KELLY",2025-08-06,2025-09-20,15393.72,USD,AP,Open,15393.72
31b1b099,ABBOTT-MUNOZ,2025-10-03,2026-01-01,28818.67,USD,AP,Paid,28818.67
039f3a25,"GUZMAN, HOFFMAN AND BALDWIN",2025-08-10,2025-11-08,22627.88,USD,AP,Paid,22627.88
f96b648a,DUDLEY GROUP,2025-10-23,2026-01-21,38503.85,USD,AP,Open,38503.85
2053da42,"HENDERSON, RAMIREZ AND LEWIS",2025-06-27,2025-07-27,657.44,USD,AP,Paid,657.44
df6a8f93,"GARDNER, ROBINSON AND LAWRENCE",2025-10-10,2026-01-08,7170.98,GBP,AP,Open,8963.724999999999
70c2903f,"MCCLURE, WARD AND LEE",2025-06-20,2025-09-18,10275.57,USD,AP,Paid,10275.57
f0e98b3b,"FLOWERS, MARTIN AND KELLY",2025-08-18,2025-08-18,48817.79,USD,AP,Paid,48817.79
6694c343,WILLIAMS AND SONS,2025-11-20,2026-02-18,48260.51,USD,AP,Open,48260.51
0db95301,"HENDERSON, RAMIREZ AND LEWIS",2025-09-14,2025-12-13,9473.05,USD,AP,Paid,9473.05
89d7fd6c,WILLIAMS AND SONS,2025-09-04,2025-10-04,7085.57,USD,AP,Open,7085.57
122c9a56,"FLOWERS, MARTIN AND KELLY",2025-09-25,2025-09-25,6294.15,USD,AP,Paid,6294.15
c31edbbc,BLAIR PLC,2025-08-13,2025-11-11,40467.47,USD,AP,Open,40467.47
2053da42,"HENDERSON, RAMIREZ AND LEWIS",2025-06-27,2025-07-27,657.44,USD,AP,Paid,657.44
e7a37e81,"MCCLAIN, MILLER AND HENDERSON",2025-06-29,2025-09-27,47614.08,USD,AP,Open,47614.08
c7fee39f,WILLIAMS AND SONS,2025-12-06,2026-02-04,20891.47,USD,AP,Open,20891.47
6c6fa611,"ADAMS, ZUNIGA AND WONG",2025-07-04,2025-07-19,11325.78,USD,AP,Open,11325.78
14f7ce8d,"GARDNER, ROBINSON AND LAWRENCE",2025-12-06,2025-12-06,31946.19,USD,AP,Disputed,31946.19
3602f8ac,"MCCLAIN, MILLER AND HENDERSON",2025-11-09,2026-01-08,6813.02,USD,AP,Paid,6813.02
a2b5b498,"MCCLAIN, MILLER AND HENDERSON",2025-09-14,2025-09-29,19657.19,USD,AP,Open,19657.19
